Company Name,Industry,Symbol,Series,ISIN Code
Aditya Infotech Ltd.,Capital Goods,CPPLUS,EQ,INE819V01029
Advance Agrolife Ltd.,Chemicals,ADVANCE,EQ,INE1B0W01010
Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK,EQ,INE0INX01018
Aequs Ltd.,Capital Goods,AEQUS,EQ,INE947N01017
All Time Plastics Ltd.,Consumer Durables,ALLTIME,EQ,INE0GV601021
Amagi Media Labs Ltd.,Information Technology,AMAGI,EQ,INE121R01077
Amir Chand Jagdish Kumar (Exports) Ltd.,Fast Moving Consumer Goods,AMIRCHAND,EQ,INE05TO01019
Anand Rathi Share and Stock Brokers Ltd.,Financial Services,ARSSBL,EQ,INE549H01021
Anlon Healthcare Ltd.,Healthcare,AHCL,EQ,INE0Y8W01017
Anthem Biosciences Ltd.,Healthcare,ANTHEM,EQ,INE0CZ201020
Arisinfra Solutions Ltd.,Construction Materials,ARIS,EQ,INE0H9P01028
Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG,EQ,INE0LEZ01016
Atlanta Electricals Ltd.,Capital Goods,ATLANTAELE,EQ,INE0Z4F01028
Aye Finance Ltd.,Financial Services,AYE,EQ,INE501X01029
BMW Ventures Ltd.,Metals & Mining,BMWVENTLTD,EQ,INE965W01036
Belrise Industries Ltd.,Automobile and Auto Components,BELRISE,EQ,INE894V01022
Bharat Coking Coal Ltd.,Oil Gas & Consumable Fuels,BHARATCOAL,EQ,INE05XR01022
Billionbrains Garage Ventures Ltd.,Financial Services,GROWW,EQ,INE0HOQ01053
BlueStone Jewellery and Lifestyle Ltd.,Consumer Durables,BLUESTONE,EQ,INE304W01038
Brigade Hotel Ventures Ltd.,Consumer Services,BRIGHOTEL,EQ,INE03NU01014
CORONA Remedies Ltd.,Healthcare,CORONA,EQ,INE02ZQ01018
Canara HSBC Life Insurance Company Ltd.,Financial Services,CANHLIFE,EQ,INE01TY01017
Canara Robeco Asset Management Company Ltd.,Financial Services,CRAMC,EQ,INE218I01013
Capillary Technologies India Ltd.,Information Technology,CAPILLARY,EQ,INE0ILV01024
Central Mine Planning & Design Institute Ltd.,Services,CMPDI,EQ,INE05HV01027
Clean Max Enviro Energy Solutions Ltd.,Power,CLEANMAX,EQ,INE647U01026
